id;nm_nome;nm_sobrenome;nm_cidade;nm_estado
1;Milton;Sasamori;São Sebastião do Caí;RS
2;Kelvin;Carvalho;Sapucaia do Sul;RS
3;Maurício;Sasamori;Portão;RS
4;André;Sasamori;Portão;RS
5;Márcio;Sasamori;Portão;RS
6;Douglas;Carvalho;Campo Bom;RS
7;João;Silva;São Paulo;SP
8;Joana;Pereira;Vitória;ES
9;Beatriz;Silva;Florianópolis;SC
10;Helena;Souza;Gravataí;RS
11;Tiago;Rech;Rio de Janeiro;RK
12;Joaquin;Dourado;Bom Princípio;RS
13;Luis;Mello;Caxias do Sul;RS
14;Carlos;Silva;Londrina;PR
15;Letícia;Camargo;Chapecó;SC
16;Paulo;Souza;São Leopoldo;RS
17;Rafael;Fernandez;Novo Hamburgo;RS
18;Gabriel;Hernandez;Ivoti;RS
19;Daniel;Henz;Morro Reuter;RS
20;Thomas;Lima;Taquara;RS
